Date,ProductID,Zip,Units,Revenue,Cost,Currency
2020-06-22,1004,100000,35,5136605,4109284,VND
2020-09-24,1007,550000,36,5625336,4500268,VND
2020-10-02,1004,100000,35,5074893,4059914,VND
2020-10-22,1007,700000,32,4823588,3858870,VND
2020-10-15,1005,700000,31,4599218,3679374,VND
2020-11-02,1005,550000,27,3963225,3170580,VND
2020-10-17,1002,550000,27,3896280,3117024,VND
2020-05-16,1002,100000,33,5164471,4131576,VND
2020-02-26,1008,550000,45,6884540,5507632,VND
2020-02-08,1005,100000,44,6920666,5536532,VND
2020-02-28,1006,100000,37,5466724,4373379,VND
2020-10-02,1008,700000,29,4190660,3352528,VND
2020-03-17,1004,550000,40,5885787,4708629,VND
2020-04-18,1008,550000,28,3990903,3192722,VND
2020-08-14,1002,550000,28,4279920,3423936,VND
2020-10-14,1005,700000,27,4026792,3221433,VND
2020-02-11,1003,700000,33,4735618,3788494,VND
2020-11-04,1002,100000,40,6260488,5008390,VND
2020-11-14,1010,550000,41,5869278,4695422,VND
2020-08-11,1006,100000,35,5321525,4257220,VND
2020-10-27,1005,700000,33,4957176,3965740,VND
2020-09-27,1008,100000,43,6466827,5173461,VND
2020-12-20,1002,100000,33,4780532,3824425,VND
2020-04-28,1004,100000,38,5802957,4642365,VND
2020-06-28,1002,700000,32,4963571,3970856,VND
2020-12-20,1005,550000,41,6146360,4917088,VND
2020-07-10,1010,100000,27,3990434,3192347,VND
2020-10-01,1002,100000,37,5385022,4308017,VND
2020-11-01,1009,700000,33,4763378,3810702,VND
2020-10-09,1009,700000,41,6163787,4931029,VND
2020-10-20,1006,700000,26,3869564,3095651,VND
2020-06-01,1008,550000,34,5193460,4154768,VND
2020-07-26,1001,700000,32,5024458,4019566,VND
2020-03-14,1009,700000,34,5026487,4021189,VND
2020-04-11,1008,100000,30,4653660,3722928,VND
2020-11-10,1005,550000,26,3963280,3170624,VND
2020-09-26,1003,700000,27,4219138,3375310,VND
2020-11-16,1009,700000,30,4508011,3606408,VND
2020-01-02,1008,550000,36,5173327,4138661,VND
2020-08-04,1001,100000,28,4217368,3373894,VND
2020-05-09,1007,550000,41,6337201,5069760,VND
2020-04-11,1003,100000,30,4390050,3512040,VND
2020-10-16,1010,100000,40,5819242,4655393,VND
2020-09-23,1002,100000,27,4173361,3338688,VND
2020-07-11,1001,550000,37,5386995,4309596,VND
2020-05-18,1004,550000,36,5566686,4453348,VND
2020-07-05,1002,100000,29,4169187,3335349,VND
2020-09-05,1003,550000,35,5397296,4317836,VND
2020-04-15,1001,550000,35,5173172,4138537,VND
2020-10-21,1004,700000,38,5474807,4379845,VND
2020-02-28,1008,550000,37,5775574,4620459,VND
2020-10-21,1005,700000,42,6089326,4871460,VND
2020-09-21,1008,100000,40,6197420,4957936,VND
2020-12-10,1010,100000,24,3716065,2972852,VND
2020-09-10,1009,550000,24,3770992,3016793,VND
2020-03-07,1004,550000,25,3633318,2906654,VND
2020-02-02,1006,100000,38,5923936,4739148,VND
2020-01-20,1002,700000,37,5592785,4474228,VND
2020-09-01,1004,700000,40,6279721,5023776,VND
2020-12-13,1009,100000,35,5043303,4034642,VND
2020-05-21,1009,550000,42,5991478,4793182,VND
2020-06-09,1001,550000,30,4617144,3693715,VND
2020-12-06,1002,100000,36,5517866,4414292,VND
2020-06-11,1006,100000,38,5449330,4359464,VND
2020-09-22,1006,700000,46,6818481,5454784,VND
2020-12-22,1003,550000,23,3462286,2769828,VND
2020-06-12,1005,550000,29,4236421,3389136,VND
2020-10-04,1009,100000,36,5162593,4130074,VND
2020-08-01,1002,550000,40,5731542,4585233,VND
2020-11-18,1009,550000,32,4808000,3846400,VND
2020-11-02,1001,550000,28,4118294,3294635,VND
2020-11-23,1008,100000,33,5156621,4125296,VND
2020-06-21,1005,100000,39,6120203,4896162,VND
2020-06-28,1005,100000,38,5663760,4531008,VND
2020-06-20,1003,700000,33,5125235,4100188,VND
2020-12-19,1004,550000,31,4540006,3632004,VND
2020-04-25,1008,100000,39,6066360,4853088,VND
2020-04-28,1010,700000,36,5474197,4379357,VND
